field_1,x-etr89,y-etr89,z-wgs84,descriptio,x-gk-z3,y-gk-z3,z-DHHN,category,St,Loc,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q,lat_flowtr,lon_flowtr,stem_name,layer,path,horizon_v,angle_v,ang_v_corr,ang,tke_proxy
prC-0003,8.148790157000002,48.902878309999998,156.479500000000002,,3437670.339000000152737,5418735.602000000886619,108.503500000000003,measurement profile points,"2",343.296666700000003,0.273666667000000,,,,0.415000000000000,0.111666667000000,80,1.333333333000000,-0.063000000000000,0.019333333000000,-0.075333333000000,58.196666669999999,0.003666667000000,0.002000000000000,0.007666667000000,32.377000000000002,32.468666669999998,34.494666670000001,26.080666669999999,3.197333333000000,1,,,,,48.902713329999997,8.148663333000000,,plitt-2507,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2507.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.0658997554,-17.0601137653,-2.0601137653,32.0601137653,0.00003811
prC-0004,8.148770487000000,48.902887219999997,156.322000000000003,,3437668.908000000286847,5418736.610000000335276,108.346000000000004,measurement profile points,"3",343.296666700000003,0.445333333000000,,,,0.372333333000000,0.166000000000000,80,1.000000000000000,-0.044000000000000,-0.070666667000000,0.274333333000000,-49.898333330000000,0.003666667000000,0.002666667000000,0.011000000000000,30.849000000000000,30.960333330000001,33.179666670000003,26.072666670000000,4.569666667000000,1,,,,,48.902720000000002,8.148630000000002,,plitt-2507,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2507.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.0832452871,58.0918931856,73.0918931856,-43.0918931856,0.00007078
"1",8.148730993999999,48.902789679999998,159.907333300000005,,3437665.890999999828637,5418725.796000000089407,111.931333300000006,h2o,"0",343.300000000000011,0.380000000000000,,,,0.413000000000000,0.157000000000000,80,1.000000000000000,0.025000000000000,0.006000000000000,-0.025000000000000,13.375000000000000,0.004000000000000,0.002000000000000,0.006000000000000,32.795999999999999,32.936999999999998,35.021999999999998,25.978000000000002,1.877000000000000,1,,,,,48.902799999999999,8.148740000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.0257099203,13.4957332808,28.4957332808,1.5042667192,0.00002800
"2",8.148679547000000,48.902807680000002,159.920500000000004,,3437662.141999999992549,5418727.839999998919666,111.944500000000005,h2o,"1",343.300000000000011,0.776000000000000,,,,0.374000000000000,0.290000000000000,80,2.000000000000000,0.195000000000000,-0.086000000000000,0.327000000000000,-23.806999999999999,0.003000000000000,0.006000000000000,0.023000000000000,33.664000000000001,34.036999999999999,35.871000000000002,25.969000000000001,1.758000000000000,1,,,,,48.902799999999999,8.148680000000002,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.2131220308,-23.7987092029,-8.7987092029,38.7987092029,0.00028700
"3",8.148646824000000,48.902819430000001,159.722333300000003,,3437659.757999999448657,5418729.173000000417233,111.746333300000003,h2o,"2",343.300000000000011,1.064000000000000,,,,0.407000000000000,0.433000000000000,80,0.000000000000000,0.385000000000000,-0.031000000000000,0.087000000000000,-4.593000000000000,0.004000000000000,0.005000000000000,0.020000000000000,33.884999999999998,34.183000000000000,35.957000000000001,25.957999999999998,1.261000000000000,1,,,,,48.902810000000002,8.148640000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.3862460356,-4.6034947989,10.3965052011,19.6034947989,0.00022050
"4",8.148573695000000,48.902756740000001,158.919666699999993,,3437654.317999999970198,5418722.262000000104308,110.943666699999994,h2o,"3",343.300000000000011,1.107000000000000,,,,0.382000000000000,0.423000000000000,80,1.000000000000000,0.350000000000000,-0.038000000000000,0.127000000000000,-6.149000000000000,0.008000000000000,0.008000000000000,0.031000000000000,33.213000000000001,33.420999999999999,35.552000000000000,25.981999999999999,1.597000000000000,1,,,,,48.902749999999997,8.148569999999999,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.3520568136,-6.1964134291,8.8035865709,21.1964134291,0.00054450
"5",8.148469876000000,48.902694869999998,159.483000000000004,,3437646.629999999888241,5418715.466000000014901,111.507000000000005,h2o,"4",343.300000000000011,1.200000000000000,,,,0.423000000000000,0.508000000000000,80,0.000000000000000,0.445000000000000,-0.150000000000000,0.563000000000000,-18.669000000000000,0.010000000000000,0.008000000000000,0.036000000000000,33.130000000000003,33.295999999999999,35.490000000000002,25.978000000000002,0.421000000000000,1,,,,,48.902679999999997,8.148460000000000,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.4696008944,-18.6278631765,-3.6278631765,33.6278631765,0.00073000
"6",8.148587190000002,48.902642919999998,160.736999999999995,,3437655.166000000201166,5418709.592000000178814,112.760999999999996,h2o,"5.5",343.300000000000011,0.445000000000000,,,,0.365000000000000,0.162500000000000,80,0.000000000000000,-0.085000000000000,-0.039500000000000,0.148000000000000,-160.087500000000006,0.007000000000000,0.009000000000000,0.034500000000000,37.057499999999997,37.427000000000000,39.545000000000002,25.968000000000000,1.681500000000000,1,,,,,48.902619999999999,8.148580000000003,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.0937296645,24.9245703554,39.9245703554,-9.9245703554,0.00066013
"7",8.148528562999999,48.902600749999998,161.967333300000007,,3437650.814999999944121,5418704.951000000350177,113.991333299999994,h2o,"7.5",343.300000000000011,0.461000000000000,,,,0.320000000000000,0.147500000000000,80,0.500000000000000,-0.290500000000000,-0.043500000000000,0.169000000000000,-171.970499999999987,0.010000000000000,0.008500000000000,0.032500000000000,33.547499999999999,33.640500000000003,35.642499999999998,25.959000000000000,1.718500000000000,1,,,,,48.902580000000000,8.148540000000002,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.2937388296,8.5162981969,23.5162981969,6.4837018031,0.00061425
"8",8.148459422000000,48.902623960000000,162.335000000000008,,3437645.774999999906868,5418707.588999999687076,114.358999999999995,h2o,"9",343.300000000000011,0.996000000000000,,,,0.361000000000000,0.360000000000000,80,2.000000000000000,-0.153000000000000,-0.175000000000000,0.655000000000000,-131.200999999999993,0.004000000000000,0.005000000000000,0.018000000000000,34.552000000000000,34.604999999999997,36.581000000000003,25.978000000000002,3.212000000000000,1,,,,,48.902600000000000,8.148440000000003,,plitt-2607,file:///P:/aktiv/2021_DFG_NSFC_Econnect/200%20Data%20Acquisition/240%20Fieldwork/data/plittersdorf/flowtracker2/merged_flowtracker_dgps/plitt-2607.csv?type=csv&maxFields=10000&detectTypes=yes&xField=x-gk-z3&yField=y-gk-z3&crs=EPSG:5683&spatialIndex=no&su,0.2324521456,48.8372621173,63.8372621173,-33.8372621173,0.00018250
