site,sample name,Profile ID,Profile,mass_kg,bed_elevation_dhhn,profile_location,river_km,samp_method,date,lat,lon,d10,d16,d25,d30,d50,d60,d75,d84,d90,Mean Grain Size dm [mm],Geometrical mean dg [mm],Sorting Index 1 ds,Fredle - Index,Grain Size std,Geometric Standard Deviation,Skewness,Kurtosis,Coefficient of uniformity - Cu,Curvature coefficient - Cc,Carling and Reader (1982) [Porosity],Wu and Wang (2006) [Porosity],Wooster et al. (2008) [Porosity],Frings et al. (2011)  [Porosity],User input [Porosity],Carling and Reader (1982) [Estimated kf],Wu and Wang (2006) [Estimated kf],Wooster et al. (2008) [Estimated kf],Frings et al. (2011)  [Estimated kf],User input [Estimated kf],250,125,63,31.5,16,8,4,2,1,0.5,0.25,0.125,0.063,0.031,0.0039,6.00E-05
PT,FC-A-1,A,A,20245,,1,342.29,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0
PT,FC-A-2,A,A,17030,,2,342.29,FC,26.07.2022,8.148567336,48.90252071,2.270967742,5.591741935,9.236363636,11.00051948,18.97383721,24.0744186,32.13,44.96688,53.5248,24.66806575,15.85696026,2.835781844,5.591741935,23.71386196,2.157843119,3.132770813,20.97059771,10.60095137,2.213398523,0.218142718,0.243187143,0.231642857,0.217530508,0.23611712,8.30E-05,0.000122774,0.000102942,8.22E-05,,100,100,96.64310954,74.55830389,44.16961131,21.4958775,12.36749117,9.628975265,8.716136631,7.714958775,4.711425206,1.67844523,0.795053004,0,0,0
PT,FC-A-3,A,A,10040,,3,342.29,FC,27.07.2022,8.148525024,48.90253762,1.85,5.355636364,9.540106952,11.69197861,19.70892857,23.42154762,28.99047619,35.36926431,45.73079019,21.94235044,13.76317253,2.569848211,5.355636364,19.16838902,2.128457469,4.531920241,48.24451856,12.66029601,3.154922588,0.216143628,0.242287343,0.234774627,0.218786761,0.338613545,6.03E-05,9.08E-05,8.10E-05,6.29E-05,,100,100,100,81.75944334,40.00994036,21.42147117,13.22067594,10.23856859,8.648111332,7.206759443,4.870775348,2.385685885,1.292246521,0,0,0
PT,FC-A-4,A,A,10995,,4,342.29,FC,27.07.2022,8.14848487,48.90255327,4.693953488,7.141953488,10.02003339,11.48447412,18.01520052,22.41254851,29.0085705,36.93226415,46.70766509,22.01975044,16.24095172,2.274020931,7.141953488,19.10363696,1.726982442,4.643457147,48.87046523,4.774770046,1.253695891,0.220895254,0.244426064,0.282054441,0.242023014,0.377150835,0.000231771,0.000333872,0.000568208,0.000322069,,100,100,100,80.66575467,45.41723666,18.10305518,8.299133607,5.836753306,5.061559508,4.423164615,2.918376653,0.820793434,0.364797082,0,0,0
PT,FC-B-1,B,B,15275,,1,342.32,FC,25.07.2022,8.148737821,48.90269789,0.225141509,0.359283276,3.49137931,5.894076655,14.04013378,18.56346154,26.04767628,30.53820513,40.61568396,17.65990608,3.312380775,9.219412624,0.359283276,19.49187485,2.794397786,4.666669757,48.71299281,82.45241664,8.312219891,0.234557423,0.250575298,0.173173034,0.194332427,0.2994063,2.36E-05,3.00E-05,8.12E-06,1.21E-05,,100,100,100,85.92764686,54.86226352,35.01493528,25.4895453,23.5645536,22.96714238,21.47361434,11.74908729,2.953866578,1.228011948,0,0,0
PT,FC-B-2,B,B,14095,,2,342.32,FC,27.07.2022,8.148716353,48.90270238,0.317647059,0.984782609,5.963768116,8,13.89252949,17.38238573,24.66583055,29.03589744,34.16775244,17.24909676,5.347340163,5.429970144,0.984782609,18.36883863,2.472277681,5.515060121,62.68074182,54.72232545,11.59112935,0.235152572,0.250843164,0.200637577,0.205927822,0.283891948,4.12E-05,5.21E-05,2.34E-05,2.57E-05,,100,100,100,89.0747331,57.15302491,30,20.17793594,20.07117438,16.04982206,14.41281139,8.362989324,2.526690391,0.996441281,0,0,0
PT,FC-B-3,B,B,13360,,3,342.32,FC,27.07.2022,8.148694988,48.90270829,0.6075,5.048549618,8.538461538,10.06153846,16.2252422,20.68503767,27.37473089,31.38854682,43.00011876,20.08436257,12.58835319,2.493459339,5.048549618,18.94156777,2.235189556,4.874959792,52.47901426,34.04944473,8.05612479,0.226543285,0.246968226,0.223597924,0.215372243,0.251909071,5.48E-05,7.49E-05,5.23E-05,4.57E-05,,100,100,100,84.24990647,49.49494949,23.23232323,13.43060232,11.26075571,10.58735503,9.839132061,6.771417883,2.469135802,1.122334456,0,0,0
PT,FC-B-4,B,B,13345,,4,342.32,FC,27.07.2022,8.148667641,48.90271324,2.419354839,5.289552239,8.653576438,10.1486676,16.17339494,20.19163424,26.21899319,29.83540856,36.43433544,19.26767322,12.56248193,2.374961312,5.289552239,18.00227938,1.993833404,5.651793807,65.64550228,8.345875486,2.108370915,0.226717991,0.24704686,0.24967229,0.228211824,0.201185631,0.000101706,0.000138793,0.000144269,0.000104132,,100,100,100,88.14258912,49.5684803,22.81425891,12.75797373,9.268292683,8.292682927,7.392120075,4.652908068,1.538461538,0.712945591,0,0,0
PT,FC-C-1,C,C,16190,,1,342.34,FC,26.07.2022,8.14882992,48.90285891,0.425,4.513361702,9.121311475,11.23672131,19.84771127,24.2493838,30.85189261,41.57833992,49.61146245,22.81467455,13.69883524,3.035173369,4.513361702,20.31085065,2.396952481,3.794913644,37.25307147,57.05737365,12.25150897,0.215776329,0.24212202,0.2076645,0.20702397,0.318672495,4.37E-05,6.61E-05,3.82E-05,3.77E-05,,100,100,100,76.47241166,41.25852449,22.34965902,15.06509609,14.29014259,13.01921885,11.65530068,6.137631742,2.169869808,1.177929324,0,0,0
PT,FC-C-2,C,C,13880,,2,342.34,FC,26.07.2022,8.148810906,48.90287014,0.419607843,3.802962963,6.933333333,8.613664596,15.44099379,19.76522199,26.51902748,30.57131078,40.39895561,18.95365394,10.78246552,2.835280181,3.802962963,18.85546207,2.325957541,5.011429407,54.58202865,47.10403371,8.946035563,0.229260775,0.248191347,0.214512602,0.212048861,0.16681252,5.17E-05,6.90E-05,4.08E-05,3.92E-05,,100,100,100,86.06259098,51.63755459,28.20232897,16.19359534,14.22852984,13.4279476,11.79039301,6.222707424,2.328966521,1.091703057,0,0,0
PT,FC-C-3,C,C,18905,,3,342.34,FC,26.07.2022,8.148789954,48.90287902,0.49464539,4.543055118,7.221653543,8.665854109,14.25004617,17.77063968,24.88645749,29.15594818,34.51586124,17.8770019,11.50899994,2.533317259,4.543055118,18.07145937,2.204269308,5.736560504,66.2855386,35.92601899,8.543301233,0.233723959,0.250200169,0.226779915,0.217826339,0.229028704,5.89E-05,7.55E-05,5.29E-05,4.58E-05,,100,100,100,88.94121382,56.26752738,27.61521774,14.17535319,12.71495846,10.8365522,10.07989841,6.349542304,2.539816922,1.164082756,0,0,0
