,sample,Profile ID,profile_location,samp_method,date,lat,lon,d10,d16,d25,d30,d50,d60,d75,d84,d90,Mean Grain Size dm [mm],Geometrical mean dg [mm],Sorting Index 1 ds,Fredle - Index,Grain Size std,Geometric Standard Deviation,Skewness,Kurtosis,Coefficient of uniformity - Cu,Curvature coefficient - Cc,Carling and Reader (1982) [Porosity],Wu and Wang (2006) [Porosity],Wooster et al. (2008) [Porosity],Frings et al. (2011)  [Porosity],User input [Porosity],Carling and Reader (1982) [Estimated kf],Wu and Wang (2006) [Estimated kf],Wooster et al. (2008) [Estimated kf],Frings et al. (2011)  [Estimated kf],User input [Estimated kf],250,125,63,31.5,16,8,4,2,1,0.5,0.25,0.125,0.063,0.031,0.0039,6.00E-05,dp_position,H_m,depth,comment,slurp_rate1,slurp_rate2,slurp_rate3,slurp_rate4,slurp_rate_final,wl,wl_stick,z_bed,z_watersurface,lz,operator
0,A-1,A,1,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0,1,0.13,0.86,,24,23.5,46.8,,23.75,-0.2588333,,110.2643333,110.0055,0.6011667,Negreiros
1,A-1,A,1,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0,2,0.13,0.83,,25.4,28.7,35.2,,27.05,-0.2588333,,110.2643333,110.0055,0.5711667,Negreiros
2,A-1,A,1,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0,3,0.13,0.8,,17,16.2,,,16.6,-0.2588333,,110.2643333,110.0055,0.5411667,Negreiros
3,A-1,A,1,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0,5,0.13,0.74,,18.6,16.4,,,17.5,-0.2588333,,110.2643333,110.0055,0.4811667,Negreiros
4,A-1,A,1,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0,6,0.13,0.71,,7.71,7.71,,,7.71,-0.2588333,,110.2643333,110.0055,0.4511667,Negreiros
5,A-1,A,1,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0,7,0.13,0.68,maybe depth is unsaturated,3.52,3.52,,,3.52,-0.2588333,,110.2643333,110.0055,0.4211667,Negreiros
6,A-1,A,1,FC,26.07.2022,8.148607977,48.90250473,0.297093023,0.453643411,4.584375,7.10875,16.07157851,21.32804366,29.21274139,39.81848101,50.55506329,21.4825515,4.250104886,9.368823142,0.453643411,23.7529861,2.679535212,3.264531019,22.17254681,71.78910978,7.975226172,0.227063053,0.24720217,0.18250608,0.196745555,,3.85E-05,5.23E-05,1.79E-05,2.32E-05,,100,100,96.95469176,79.35132459,49.86382768,31.76528844,23.84253528,20.40108938,19.11364199,17.7766774,8.195097796,1.559792028,0.61896509,0,0,0,8,0.13,0.65,maybe depth is unsaturated,1.06,,,,1.06,-0.2588333,,110.2643333,110.0055,0.3911667,Negreiros
7,A-2,A,2,FC,26.07.2022,8.148567336,48.90252071,2.270967742,5.591741935,9.236363636,11.00051948,18.97383721,24.0744186,32.13,44.96688,53.5248,24.66806575,15.85696026,2.835781844,5.591741935,23.71386196,2.157843119,3.132770813,20.97059771,10.60095137,2.213398523,0.218142718,0.243187143,0.231642857,0.217530508,,8.30E-05,0.000122774,0.000102942,8.22E-05,,100,100,96.64310954,74.55830389,44.16961131,21.4958775,12.36749117,9.628975265,8.716136631,7.714958775,4.711425206,1.67844523,0.795053004,0,0,0,1,0.53,0.46,,4.85,4.72,,,4.785,0.14,,,,0.6,Scolari
8,A-2,A,2,FC,26.07.2022,8.148567336,48.90252071,2.270967742,5.591741935,9.236363636,11.00051948,18.97383721,24.0744186,32.13,44.96688,53.5248,24.66806575,15.85696026,2.835781844,5.591741935,23.71386196,2.157843119,3.132770813,20.97059771,10.60095137,2.213398523,0.218142718,0.243187143,0.231642857,0.217530508,,8.30E-05,0.000122774,0.000102942,8.22E-05,,100,100,96.64310954,74.55830389,44.16961131,21.4958775,12.36749117,9.628975265,8.716136631,7.714958775,4.711425206,1.67844523,0.795053004,0,0,0,2,0.53,0.43,,9.69,9.99,,,9.84,0.14,,,,0.57,Scolari
9,A-2,A,2,FC,26.07.2022,8.148567336,48.90252071,2.270967742,5.591741935,9.236363636,11.00051948,18.97383721,24.0744186,32.13,44.96688,53.5248,24.66806575,15.85696026,2.835781844,5.591741935,23.71386196,2.157843119,3.132770813,20.97059771,10.60095137,2.213398523,0.218142718,0.243187143,0.231642857,0.217530508,,8.30E-05,0.000122774,0.000102942,8.22E-05,,100,100,96.64310954,74.55830389,44.16961131,21.4958775,12.36749117,9.628975265,8.716136631,7.714958775,4.711425206,1.67844523,0.795053004,0,0,0,3,0.53,0.4,,18.4,25.4,,,21.9,0.14,,,,0.54,Scolari
